model,fold,feature,importance
Random_forest,3,cum_days_above_above_7_close_sma_ind,0.01101936323933921
Random_forest,3,cum_days_above_above_14_close_sma_ind,0.02423833738436429
Random_forest,3,cum_days_above_above_21_close_sma_ind,0.029153036207354776
Random_forest,3,14_close_sma_std,0.0705744083388904
Random_forest,3,14_close_sma_pct_diff_std,0.029433945268337265
Random_forest,3,14_close_std_std,0.06054207381113748
Random_forest,3,21_close_sma_std,0.07197376726629684
Random_forest,3,21_close_sma_pct_diff_std,0.03983879317918605
Random_forest,3,21_close_std_std,0.056733001440064865
Random_forest,3,7_close_sma_std,0.07962211852456347
Random_forest,3,7_close_sma_pct_diff_std,0.02643449819398592
Random_forest,3,7_close_std_std,0.05237017149631158
Random_forest,3,bol_pct_from_bottom_std,0.04564797775255043
Random_forest,3,bol_pct_from_top_std,0.04126075413114995
Random_forest,3,bol_range_std,0.0579114779961689
Random_forest,3,bol_range_pct_std,0.05380336812675678
Random_forest,3,lower_bollinger_band_std,0.08581872114743487
Random_forest,3,upper_bollinger_band_std,0.0975263640244044
Random_forest,3,ind_AAPL,0.01735385998458617
Random_forest,3,ind_XLE,0.032988969745210504
Random_forest,3,ind_XLF,0.009200043651754593
Random_forest,4,above_7_close_sma_ind,0.0015289166014666833
Random_forest,4,above_14_close_sma_ind,0.0018412469149120157
Random_forest,4,above_21_close_sma_ind,0.00276339544764984
Random_forest,4,cum_days_above_above_7_close_sma_ind,0.009867481435842438
Random_forest,4,cum_days_above_above_14_close_sma_ind,0.020343902753643
Random_forest,4,cum_days_above_above_21_close_sma_ind,0.03488252264211233
Random_forest,4,14_close_sma_std,0.08372251104770989
Random_forest,4,14_close_sma_pct_diff_std,0.031033198242009927
Random_forest,4,14_close_std_std,0.04985563311747874
Random_forest,4,21_close_sma_std,0.07808422481023437
Random_forest,4,21_close_sma_pct_diff_std,0.03632229240174016
Random_forest,4,21_close_std_std,0.05230245524798713
Random_forest,4,7_close_sma_std,0.08747020159443278
Random_forest,4,7_close_sma_pct_diff_std,0.025160757265622544
Random_forest,4,7_close_std_std,0.047161132895441396
Random_forest,4,bol_pct_from_bottom_std,0.042838305581970354
Random_forest,4,bol_pct_from_top_std,0.040397562158031856
Random_forest,4,bol_range_std,0.05733727275720277
Random_forest,4,bol_range_pct_std,0.056049436165960864
Random_forest,4,lower_bollinger_band_std,0.08239289185709028
Random_forest,4,upper_bollinger_band_std,0.10590086418707624
Random_forest,4,ind_AAPL,0.01718225279569135
Random_forest,4,ind_XLE,0.026193992645677636
Random_forest,4,ind_XLF,0.00936754943301538
XGBoost,0,above_7_close_sma_ind,0.023824620991945267
XGBoost,0,above_14_close_sma_ind,0.008654898963868618
XGBoost,0,above_21_close_sma_ind,0.010168681852519512
XGBoost,0,cum_days_above_above_7_close_sma_ind,0.020360661670565605
XGBoost,0,cum_days_above_above_14_close_sma_ind,0.03983597457408905
XGBoost,0,cum_days_above_above_21_close_sma_ind,0.051936205476522446
XGBoost,0,14_close_sma_std,0.05007893964648247
XGBoost,0,14_close_sma_pct_diff_std,0.02888299897313118
XGBoost,0,14_close_std_std,0.03655886650085449
XGBoost,0,21_close_sma_std,0.05467841774225235
XGBoost,0,21_close_sma_pct_diff_std,0.03952489420771599
XGBoost,0,21_close_std_std,0.04281625151634216
XGBoost,0,7_close_sma_std,0.06975843012332916
XGBoost,0,7_close_sma_pct_diff_std,0.02488638646900654
XGBoost,0,7_close_std_std,0.04458636790513992
XGBoost,0,bol_pct_from_bottom_std,0.04494267702102661
XGBoost,0,bol_pct_from_top_std,0.04615633562207222
XGBoost,0,bol_range_std,0.0
XGBoost,0,bol_range_pct_std,0.05093633756041527
XGBoost,0,lower_bollinger_band_std,0.04358648508787155
XGBoost,0,upper_bollinger_band_std,0.08687271922826767
XGBoost,0,ind_AAPL,0.05707238242030144
XGBoost,0,ind_XLE,0.08778085559606552
XGBoost,0,ind_XLF,0.036099594086408615
XGBoost,1,above_7_close_sma_ind,0.004160100128501654
XGBoost,1,above_14_close_sma_ind,0.0
XGBoost,1,above_21_close_sma_ind,0.02607080340385437
XGBoost,1,cum_days_above_above_7_close_sma_ind,0.03758484125137329
XGBoost,1,cum_days_above_above_14_close_sma_ind,0.039682891219854355
XGBoost,1,cum_days_above_above_21_close_sma_ind,0.04254142567515373
XGBoost,1,14_close_sma_std,0.04509236291050911
XGBoost,1,14_close_sma_pct_diff_std,0.035319481045007706
XGBoost,1,14_close_std_std,0.044552113860845566
XGBoost,1,21_close_sma_std,0.07368407398462296
XGBoost,1,21_close_sma_pct_diff_std,0.03962988033890724
XGBoost,1,21_close_std_std,0.05042419210076332
XGBoost,1,7_close_sma_std,0.06241178512573242
XGBoost,1,7_close_sma_pct_diff_std,0.026993248611688614
XGBoost,1,7_close_std_std,0.04568692296743393
XGBoost,1,bol_pct_from_bottom_std,0.04281638562679291
XGBoost,1,bol_pct_from_top_std,0.032597627490758896
XGBoost,1,bol_range_std,0.0
XGBoost,1,bol_range_pct_std,0.04552031308412552
XGBoost,1,lower_bollinger_band_std,0.050270382314920425
XGBoost,1,upper_bollinger_band_std,0.08792225271463394
XGBoost,1,ind_AAPL,0.06079103425145149
XGBoost,1,ind_XLE,0.06711156666278839
XGBoost,1,ind_XLF,0.039136335253715515
XGBoost,2,above_7_close_sma_ind,0.0
XGBoost,2,above_14_close_sma_ind,0.020139504224061966
XGBoost,2,above_21_close_sma_ind,0.04867961257696152
XGBoost,2,cum_days_above_above_7_close_sma_ind,0.036543723195791245
XGBoost,2,cum_days_above_above_14_close_sma_ind,0.033550579100847244
XGBoost,2,cum_days_above_above_21_close_sma_ind,0.06394457817077637
XGBoost,2,14_close_sma_std,0.053356271237134933
XGBoost,2,14_close_sma_pct_diff_std,0.03142334148287773
XGBoost,2,14_close_std_std,0.03633326292037964
XGBoost,2,21_close_sma_std,0.04079814627766609
XGBoost,2,21_close_sma_pct_diff_std,0.02837827242910862
XGBoost,2,21_close_std_std,0.033117808401584625
XGBoost,2,7_close_sma_std,0.06104189530014992
XGBoost,2,7_close_sma_pct_diff_std,0.02732180431485176
XGBoost,2,7_close_std_std,0.03848353028297424
XGBoost,2,bol_pct_from_bottom_std,0.03844868764281273
XGBoost,2,bol_pct_from_top_std,0.04005062207579613
XGBoost,2,bol_range_std,0.0
XGBoost,2,bol_range_pct_std,0.041315849870443344
XGBoost,2,lower_bollinger_band_std,0.05007899925112724
XGBoost,2,upper_bollinger_band_std,0.06764432787895203
XGBoost,2,ind_AAPL,0.08664095401763916
XGBoost,2,ind_XLE,0.08753808587789536
XGBoost,2,ind_XLF,0.03517012670636177
XGBoost,3,above_7_close_sma_ind,0.011372139677405357
XGBoost,3,above_14_close_sma_ind,0.004422938451170921
XGBoost,3,above_21_close_sma_ind,0.0
XGBoost,3,cum_days_above_above_7_close_sma_ind,0.03622948378324509
