model,feature,importance_value
CatBoost,7_close_std_std,5.275385886902361
CatBoost,above_14_close_sma_ind,0.06482365273986851
CatBoost,above_21_close_sma_ind,0.27065470234905686
CatBoost,above_7_close_sma_ind,0.3694997675961612
CatBoost,bol_pct_from_bottom_std,4.524273366877521
CatBoost,bol_pct_from_top_std,4.119184904429539
CatBoost,bol_range_pct_std,6.041319941379976
CatBoost,bol_range_std,4.803420934225367
CatBoost,cum_days_above_above_14_close_sma_ind,2.662651936212812
CatBoost,cum_days_above_above_21_close_sma_ind,4.4289310320681015
CatBoost,cum_days_above_above_7_close_sma_ind,1.4668608942314152
CatBoost,ind_AAPL,2.6060809649980534
CatBoost,ind_XLE,5.9201769647661
CatBoost,ind_XLF,1.6900600153149654
CatBoost,lower_bollinger_band_std,7.574225516644319
CatBoost,upper_bollinger_band_std,12.179999103061524
Gradient_boosting,14_close_sma_pct_diff_std,0.017205591050958285
Gradient_boosting,14_close_sma_std,0.04834990626369423
Gradient_boosting,14_close_std_std,0.052476915500198174
Gradient_boosting,21_close_sma_pct_diff_std,0.026581445668096133
Gradient_boosting,21_close_sma_std,0.04729158742600938
Gradient_boosting,21_close_std_std,0.04186370619658274
Gradient_boosting,7_close_sma_pct_diff_std,0.02585693176777304
Gradient_boosting,7_close_sma_std,0.089745910509583
Gradient_boosting,7_close_std_std,0.06633494143107392
Gradient_boosting,above_14_close_sma_ind,1.0810157860609374e-06
Gradient_boosting,above_21_close_sma_ind,0.0002553532149720471
Gradient_boosting,above_7_close_sma_ind,6.264435105551122e-05
Gradient_boosting,bol_pct_from_bottom_std,0.055627133071568045
Gradient_boosting,bol_pct_from_top_std,0.028033914730411124
Gradient_boosting,bol_range_pct_std,0.06514518132420269
Gradient_boosting,bol_range_std,0.041602800903314405
Gradient_boosting,cum_days_above_above_14_close_sma_ind,0.013763751394784062
Gradient_boosting,cum_days_above_above_21_close_sma_ind,0.031386346439690196
Gradient_boosting,cum_days_above_above_7_close_sma_ind,0.009521043232807738
Gradient_boosting,ind_AAPL,0.026341859336910613
Gradient_boosting,ind_XLE,0.03567317496298621
Gradient_boosting,ind_XLF,0.002664759949927463
Gradient_boosting,lower_bollinger_band_std,0.07722305827413745
Gradient_boosting,upper_bollinger_band_std,0.19699096198347746
Logistic_regression,14_close_sma_pct_diff_std,-0.46561941545366825
Logistic_regression,14_close_sma_std,-0.30639368316131294
Logistic_regression,14_close_std_std,-0.10750637684938846
Logistic_regression,21_close_sma_pct_diff_std,0.17586924618385752
Logistic_regression,21_close_sma_std,0.2519114803772246
Logistic_regression,21_close_std_std,-0.34272759559107935
Logistic_regression,7_close_sma_pct_diff_std,0.06425502276234143
Logistic_regression,7_close_sma_std,-0.31286115724002256
Logistic_regression,7_close_std_std,-0.08036858374198745
Logistic_regression,above_14_close_sma_ind,-0.0699328510959353
Logistic_regression,above_21_close_sma_ind,-0.05252408377103825
Logistic_regression,above_7_close_sma_ind,0.03938017942382142
Logistic_regression,bol_pct_from_bottom_std,-0.15290620234700703
Logistic_regression,bol_pct_from_top_std,0.026740983159255344
Logistic_regression,bol_range_pct_std,0.41502418715534084
Logistic_regression,bol_range_std,-0.34272759559110433
Logistic_regression,cum_days_above_above_14_close_sma_ind,0.02874361558739553
Logistic_regression,cum_days_above_above_21_close_sma_ind,-0.020012800304481056
Logistic_regression,cum_days_above_above_7_close_sma_ind,-0.018285194178786705
Logistic_regression,ind_AAPL,0.4018981049124356
Logistic_regression,ind_XLE,-0.29848645744329855
Logistic_regression,ind_XLF,0.02449653198253705
Logistic_regression,lower_bollinger_band_std,-1.8169489981817013
Logistic_regression,upper_bollinger_band_std,2.014890440167579
Random_forest,14_close_sma_pct_diff_std,0.030436592559101618
Random_forest,14_close_sma_std,0.07409789161702822
Random_forest,14_close_std_std,0.05249445233667406
Random_forest,21_close_sma_pct_diff_std,0.03844493816240325
Random_forest,21_close_sma_std,0.08151830325507484
Random_forest,21_close_std_std,0.05634776718562615
Random_forest,7_close_sma_pct_diff_std,0.028505101963193342
Random_forest,7_close_sma_std,0.08191614579182424
Random_forest,7_close_std_std,0.05357879323713094
Random_forest,above_14_close_sma_ind,0.0020490605902315313
Random_forest,above_21_close_sma_ind,0.0027243599148434306
Random_forest,above_7_close_sma_ind,0.001791211136532033
Random_forest,bol_pct_from_bottom_std,0.04462918002218121
Random_forest,bol_pct_from_top_std,0.04091620619064111
Random_forest,bol_range_pct_std,0.054407252709415356
Random_forest,bol_range_std,0.055122242745584485
Random_forest,cum_days_above_above_14_close_sma_ind,0.020319676227695205
Random_forest,cum_days_above_above_21_close_sma_ind,0.03210779625350822
Random_forest,cum_days_above_above_7_close_sma_ind,0.011075686203441378
Random_forest,ind_AAPL,0.01717654857957107
Random_forest,ind_XLE,0.029071740294294674
Random_forest,ind_XLF,0.008859346867468669
Random_forest,lower_bollinger_band_std,0.07842815777365753
Random_forest,upper_bollinger_band_std,0.1039815483828775
XGBoost,14_close_sma_pct_diff_std,0.03141260407865047
XGBoost,14_close_sma_std,0.0544858768582344
XGBoost,14_close_std_std,0.03956344351172447
XGBoost,21_close_sma_pct_diff_std,0.03335462473332882
XGBoost,21_close_sma_std,0.05003702342510223
XGBoost,21_close_std_std,0.046729658544063565
XGBoost,7_close_sma_pct_diff_std,0.02561398148536682
XGBoost,7_close_sma_std,0.0626491829752922
XGBoost,7_close_std_std,0.04134180098772049
XGBoost,above_14_close_sma_ind,0.011157594062387944
XGBoost,above_21_close_sma_ind,0.018974614329636097
XGBoost,above_7_close_sma_ind,0.007871372159570456
XGBoost,bol_pct_from_bottom_std,0.04233047515153885
XGBoost,bol_pct_from_top_std,0.03610167726874351
XGBoost,bol_range_pct_std,0.04353795424103737
XGBoost,bol_range_std,0.0
XGBoost,cum_days_above_above_14_close_sma_ind,0.039131156355142596
XGBoost,cum_days_above_above_21_close_sma_ind,0.05029761791229248
XGBoost,cum_days_above_above_7_close_sma_ind,0.031576580554246905
XGBoost,ind_AAPL,0.08089668452739715
XGBoost,ind_XLE,0.08036281168460846
XGBoost,ind_XLF,0.04278954714536667
XGBoost,lower_bollinger_band_std,0.05037986040115357
XGBoost,upper_bollinger_band_std,0.07940384149551391
